-------------AVsimulator results summary-------------

Name: 1T_MD3

Donor attachment point:
(x,y,z) = (26.57,3.01,20.99)

Acceptor attachment point:
(x,y,z) = (-15.27,-4.26,-14.69)

Linker length = 20.0 Å

R0 = 80.0 Å

Mean D-A distance:
<R> = 62.6 Å

FRET efficiency:
<E> = 0.813 (dynamically averaged)
<E> = 0.782 (statically averaged)

Distance distribution:
R /Å  Frequency
21.9	3
23.4	22
24.9	68
26.3	188
27.8	455
29.3	708
30.8	1.24e+003
32.2	2.05e+003
33.7	3.45e+003
35.2	4.41e+003
36.6	6.33e+003
38.1	7.88e+003
39.6	1.15e+004
41.1	1.54e+004
42.5	1.89e+004
44	2.3e+004
45.5	2.81e+004
46.9	3.22e+004
48.4	4.22e+004
49.9	4.86e+004
51.3	5.6e+004
52.8	6.2e+004
54.3	6.56e+004
55.8	7.54e+004
57.2	8.44e+004
58.7	8.79e+004
60.2	8.66e+004
61.6	9.17e+004
63.1	9.12e+004
64.6	9.19e+004
66	8.95e+004
67.5	8.72e+004
69	8.09e+004
70.5	7.36e+004
71.9	6.57e+004
73.4	6.35e+004
74.9	5.67e+004
76.3	4.69e+004
77.8	4e+004
79.3	3.28e+004
80.8	2.63e+004
82.2	2.18e+004
83.7	1.65e+004
85.2	1.13e+004
86.6	7.42e+003
88.1	4.66e+003
89.6	2.66e+003
91	1.12e+003
92.5	269
94	25

FRET efficiency distribution:
E     Frequency
0.274	12
0.288	114
0.303	321
0.318	931
0.332	1.27e+003
0.347	2.42e+003
0.362	3.1e+003
0.376	4.18e+003
0.391	5.39e+003
0.406	6.45e+003
0.42	8.18e+003
0.435	9.19e+003
0.45	9.61e+003
0.464	1.44e+004
0.479	1.19e+004
0.494	1.7e+004
0.508	1.5e+004
0.523	1.99e+004
0.538	1.98e+004
0.552	2.24e+004
0.567	2.52e+004
0.582	2.47e+004
0.596	3.04e+004
0.611	2.72e+004
0.626	3.27e+004
0.64	3.38e+004
0.655	3.65e+004
0.67	4.15e+004
0.684	3.75e+004
0.699	4.78e+004
0.714	4.04e+004
0.728	5.21e+004
0.743	4.73e+004
0.758	5.57e+004
0.772	5.35e+004
0.787	6.11e+004
0.802	5.73e+004
0.816	6.92e+004
0.831	6.31e+004
0.846	6.9e+004
0.86	7.45e+004
0.875	6.87e+004
0.89	7.58e+004
0.904	7.75e+004
0.919	7.72e+004
0.934	7.63e+004
0.948	7.43e+004
0.963	7.07e+004
0.978	6.1e+004
0.992	3.47e+004
